anchor,family,candidate_count,percentage_within_anchor
1842,temperature_threshold,12,0.4
1842,heat,8,0.26666666666666666
1842,warming,0,0.0
1842,climate,4,0.13333333333333333
1842,carbon_greenhouse,0,0.0
1842,concern_alarm,1,0.03333333333333333
1842,worry,0,0.0
1842,fear_afraid,0,0.0
1842,anxiety,0,0.0
1842,distress_depression,1,0.03333333333333333
1842,danger_threat,0,0.0
1842,risk,0,0.0
1842,crisis_emergency,0,0.0
1842,harm_loss_consequences,4,0.13333333333333333
1938,temperature_threshold,7,0.23333333333333334
1938,heat,8,0.26666666666666666
1938,warming,1,0.03333333333333333
1938,climate,6,0.2
1938,carbon_greenhouse,3,0.1
1938,concern_alarm,2,0.06666666666666667
1938,worry,0,0.0
1938,fear_afraid,0,0.0
1938,anxiety,0,0.0
1938,distress_depression,0,0.0
1938,danger_threat,1,0.03333333333333333
1938,risk,0,0.0
1938,crisis_emergency,0,0.0
1938,harm_loss_consequences,2,0.06666666666666667
1988,temperature_threshold,2,0.06666666666666667
1988,heat,3,0.1
1988,warming,4,0.13333333333333333
1988,climate,4,0.13333333333333333
1988,carbon_greenhouse,3,0.1
1988,concern_alarm,1,0.03333333333333333
1988,worry,0,0.0
1988,fear_afraid,0,0.0
1988,anxiety,0,0.0
1988,distress_depression,0,0.0
1988,danger_threat,3,0.1
1988,risk,1,0.03333333333333333
1988,crisis_emergency,1,0.03333333333333333
1988,harm_loss_consequences,8,0.26666666666666666
2006–2007,temperature_threshold,2,0.06666666666666667
2006–2007,heat,0,0.0
2006–2007,warming,3,0.1
2006–2007,climate,5,0.16666666666666666
2006–2007,carbon_greenhouse,2,0.06666666666666667
2006–2007,concern_alarm,0,0.0
2006–2007,worry,3,0.1
2006–2007,fear_afraid,0,0.0
2006–2007,anxiety,0,0.0
2006–2007,distress_depression,0,0.0
2006–2007,danger_threat,5,0.16666666666666666
2006–2007,risk,0,0.0
2006–2007,crisis_emergency,0,0.0
2006–2007,harm_loss_consequences,10,0.3333333333333333
2015,temperature_threshold,3,0.1
2015,heat,0,0.0
2015,warming,0,0.0
2015,climate,4,0.13333333333333333
2015,carbon_greenhouse,1,0.03333333333333333
2015,concern_alarm,2,0.06666666666666667
2015,worry,2,0.06666666666666667
2015,fear_afraid,0,0.0
2015,anxiety,0,0.0
2015,distress_depression,0,0.0
2015,danger_threat,0,0.0
2015,risk,3,0.1
2015,crisis_emergency,1,0.03333333333333333
2015,harm_loss_consequences,14,0.4666666666666667
2022,temperature_threshold,0,0.0
2022,heat,2,0.06666666666666667
2022,warming,1,0.03333333333333333
2022,climate,1,0.03333333333333333
2022,carbon_greenhouse,0,0.0
2022,concern_alarm,1,0.03333333333333333
2022,worry,2,0.06666666666666667
2022,fear_afraid,1,0.03333333333333333
2022,anxiety,5,0.16666666666666666
2022,distress_depression,11,0.36666666666666664
2022,danger_threat,1,0.03333333333333333
2022,risk,0,0.0
2022,crisis_emergency,1,0.03333333333333333
2022,harm_loss_consequences,4,0.13333333333333333
