anchor,voice,family,candidate_count
1842,V1,climate,4
1842,V1,heat,3
1842,V1,temperature_threshold,11
1842,V2,harm_loss_consequences,1
1842,V2,temperature_threshold,1
1842,V3,concern_alarm,1
1842,V5,distress_depression,1
1842,V5,harm_loss_consequences,3
1842,V5,heat,5
1938,V1,carbon_greenhouse,3
1938,V1,climate,6
1938,V1,concern_alarm,1
1938,V1,danger_threat,1
1938,V1,temperature_threshold,6
1938,V1,warming,1
1938,V3,concern_alarm,1
1938,V3,harm_loss_consequences,2
1938,V3,heat,8
1938,V3,temperature_threshold,1
1988,V1,carbon_greenhouse,1
1988,V1,climate,3
1988,V1,harm_loss_consequences,3
1988,V1,heat,3
1988,V1,temperature_threshold,2
1988,V1,warming,2
1988,V2,carbon_greenhouse,1
1988,V2,climate,1
1988,V2,crisis_emergency,1
1988,V2,danger_threat,3
1988,V2,harm_loss_consequences,5
1988,V2,risk,1
1988,V2,warming,1
1988,V3,carbon_greenhouse,1
1988,V3,concern_alarm,1
1988,V3,warming,1
2006–2007,V1,carbon_greenhouse,2
2006–2007,V1,climate,1
2006–2007,V1,harm_loss_consequences,2
2006–2007,V1,temperature_threshold,2
2006–2007,V1,warming,2
2006–2007,V2,climate,3
2006–2007,V2,danger_threat,1
2006–2007,V2,harm_loss_consequences,6
2006–2007,V3,warming,1
2006–2007,V3,worry,1
2006–2007,V4,climate,1
2006–2007,V4,danger_threat,1
2006–2007,V5,danger_threat,3
2006–2007,V5,harm_loss_consequences,2
2006–2007,V5,worry,2
2015,V2,carbon_greenhouse,1
2015,V2,climate,4
2015,V2,concern_alarm,1
2015,V2,crisis_emergency,1
2015,V2,harm_loss_consequences,11
2015,V2,risk,3
2015,V2,temperature_threshold,3
2015,V4,concern_alarm,1
2015,V5,harm_loss_consequences,3
2015,V5,worry,2
2022,V1,anxiety,3
2022,V1,distress_depression,4
2022,V1,harm_loss_consequences,3
2022,V1,heat,2
2022,V4,crisis_emergency,1
2022,V5,anxiety,2
2022,V5,climate,1
2022,V5,concern_alarm,1
2022,V5,danger_threat,1
2022,V5,distress_depression,7
2022,V5,fear_afraid,1
2022,V5,harm_loss_consequences,1
2022,V5,warming,1
2022,V5,worry,2
