normalized_lexical_form,1842,1842_candidate_ids,1938,1938_candidate_ids,1988,1988_candidate_ids,2006–2007,2006–2007_candidate_ids,2015,2015_candidate_ids,2022,2022_candidate_ids,candidate_ids,primary_layers,voices
1.5°c above pre-industrial levels,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-05,0,,FT-SEED-R1B-P-2015-05,A,V2
40-degree temperatures,0,,1,FT-SEED-R1B-P-1938-22,0,,0,,0,,0,,FT-SEED-R1B-P-1938-22,A,V3
actually increased,0,,1,FT-SEED-R1B-P-1938-14,0,,0,,0,,0,,FT-SEED-R1B-P-1938-14,A,V1
adverse effects of climate change,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-09,0,,FT-SEED-R1B-P-2015-09,D,V2
adverse impacts,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-08,0,,FT-SEED-R1B-P-2015-08,D,V2
afraid,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-05,FT-SEED-R1B-P-2022-05,C,V5
air,0,,1,FT-SEED-R1B-P-1938-04,0,,0,,0,,0,,FT-SEED-R1B-P-1938-04,B,V1
alarm to the public,1,FT-SEED-R1B-P-1842-30,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-30,C,V3
angry,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-09,FT-SEED-R1B-P-2022-09,C,V5
anthropogenic co2,0,,0,,0,,1,FT-SEED-R1B-P-0607-08,0,,0,,FT-SEED-R1B-P-0607-08,B,V1
anthropogenic ghg emissions,0,,0,,0,,1,FT-SEED-R1B-P-0607-09,0,,0,,FT-SEED-R1B-P-0607-09,B,V1
anxiety and stress,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-25,FT-SEED-R1B-P-2022-25,C,V1
anxious,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-06,FT-SEED-R1B-P-2022-06,C,V5
artificial production of carbon dioxide,0,,1,FT-SEED-R1B-P-1938-01,0,,0,,0,,0,,FT-SEED-R1B-P-1938-01,B,V1
atmosphere,0,,1,FT-SEED-R1B-P-1938-05,0,,0,,0,,0,,FT-SEED-R1B-P-1938-05,B,V1
atmospheric pollution,0,,0,,1,FT-SEED-R1B-P-1988-26,0,,0,,0,,FT-SEED-R1B-P-1988-26,D,V2
attached thermometer,1,FT-SEED-R1B-P-1842-09,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-09,A,V1
average rate,0,,1,FT-SEED-R1B-P-1938-15,0,,0,,0,,0,,FT-SEED-R1B-P-1938-15,A,V1
be worried. be very worried.,0,,0,,0,,1,FT-SEED-R1B-P-0607-21,0,,0,,FT-SEED-R1B-P-0607-21,C,V3
carbon dioxide,0,,1,FT-SEED-R1B-P-1938-02,0,,0,,0,,0,,FT-SEED-R1B-P-1938-02,B,V1
cause-and-effect relationship,0,,0,,1,FT-SEED-R1B-P-1988-05,0,,0,,0,,FT-SEED-R1B-P-1988-05,B,V1
changed climatic extremes,0,,0,,1,FT-SEED-R1B-P-1988-18,0,,0,,0,,FT-SEED-R1B-P-1988-18,D,V2
changes of temperature,1,FT-SEED-R1B-P-1842-18,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-18,A,V2
changing atmosphere,0,,0,,1,FT-SEED-R1B-P-1988-15,0,,0,,0,,FT-SEED-R1B-P-1988-15,B,V2
climate,1,FT-SEED-R1B-P-1842-15,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-15,B,V1
climate anxiety,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-16,FT-SEED-R1B-P-2022-16,C,V1
climate change,0,,0,,0,,1,FT-SEED-R1B-P-0607-10,1,FT-SEED-R1B-P-2015-01,1,FT-SEED-R1B-P-2022-01,FT-SEED-R1B-P-0607-10; FT-SEED-R1B-P-2015-01; FT-SEED-R1B-P-2022-01,B,V2; V5
climate crisis,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-30,FT-SEED-R1B-P-2022-30,D,V4
climate justice,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-24,0,,FT-SEED-R1B-P-2015-24,D,V2
climate resilience,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-11,0,,FT-SEED-R1B-P-2015-11,D,V2
climate warming,0,,0,,1,FT-SEED-R1B-P-1988-17,0,,0,,0,,FT-SEED-R1B-P-1988-17,A,V2
coastal flooding,0,,0,,0,,1,FT-SEED-R1B-P-0607-19,0,,0,,FT-SEED-R1B-P-0607-19,D,V2
common concern of humankind,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-23,0,,FT-SEED-R1B-P-2015-23,C,V2
complain of the heat,1,FT-SEED-R1B-P-1842-26,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-26,C,V5
comprehensive risk assessment and management,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-21,0,,FT-SEED-R1B-P-2015-21,D,V2
costs and risks of climate change,0,,0,,0,,1,FT-SEED-R1B-P-0607-14,0,,0,,FT-SEED-R1B-P-0607-14,D,V2
damage,0,,0,,0,,1,FT-SEED-R1B-P-0607-16,0,,0,,FT-SEED-R1B-P-0607-16,D,V2
danger,0,,0,,0,,1,FT-SEED-R1B-P-0607-25,0,,0,,FT-SEED-R1B-P-0607-25,D,V5
dangerous climate change,0,,0,,0,,1,FT-SEED-R1B-P-0607-29,0,,0,,FT-SEED-R1B-P-0607-29,D,V4
dangerous impacts,0,,0,,0,,1,FT-SEED-R1B-P-0607-27,0,,0,,FT-SEED-R1B-P-0607-27,D,V5
deadly glaciers,0,,1,FT-SEED-R1B-P-1938-17,0,,0,,0,,0,,FT-SEED-R1B-P-1938-17,D,V1
degradation of the atmosphere,0,,0,,1,FT-SEED-R1B-P-1988-25,0,,0,,0,,FT-SEED-R1B-P-1988-25,D,V2
depressed,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-14,FT-SEED-R1B-P-2022-14,C,V5
depressing effect,1,FT-SEED-R1B-P-1842-25,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-25,C,V5
dew point,1,FT-SEED-R1B-P-1842-07,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-07,A,V1
disgusted,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-12,FT-SEED-R1B-P-2022-12,C,V5
distress,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-19,FT-SEED-R1B-P-2022-19,C,V1
drastic action,0,,0,,0,,1,FT-SEED-R1B-P-0607-28,0,,0,,FT-SEED-R1B-P-0607-28,D,V5
drought,0,,1,FT-SEED-R1B-P-1938-28,1,FT-SEED-R1B-P-1988-09,0,,0,,0,,FT-SEED-R1B-P-1938-28; FT-SEED-R1B-P-1988-09,D,V1; V3
drought or water shortages,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-29,0,,FT-SEED-R1B-P-2015-29,D,V5
dry bulb thermometer,1,FT-SEED-R1B-P-1842-10,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-10,A,V1
early warning systems,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-18,0,,FT-SEED-R1B-P-2015-18,D,V2
earth is warmer,0,,0,,1,FT-SEED-R1B-P-1988-03,0,,0,,0,,FT-SEED-R1B-P-1988-03,A,V1
eco-anxiety,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-17,FT-SEED-R1B-P-2022-17,C,V1
emergency preparedness,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-19,0,,FT-SEED-R1B-P-2015-19,D,V2
evidence is pretty strong,0,,0,,1,FT-SEED-R1B-P-1988-29,0,,0,,0,,FT-SEED-R1B-P-1988-29,C,V3
excessive heat,1,FT-SEED-R1B-P-1842-19,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-19,D,V5
