query_id,surface_form,year,raw_normalized_frequency,smoothed_radius_3_frequency,raw_scale,display_scale
FT-Q-V01-106,anxious,1842,3.869925836497146e-05,3.913996219562232e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1843,3.790742456954987e-05,3.919065244053499e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1844,4.193757599324499e-05,3.881931763231409e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1845,3.801558985472298e-05,3.894768337372615e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1846,3.939341342018565e-05,3.908503246252693e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1847,3.69626435912096e-05,3.940339033852476e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1848,3.971787782219849e-05,3.864823078306553e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1849,3.96607019865769e-05,3.875976332372895e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1850,4.013592970153468e-05,3.86810306264862e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1851,3.665145910503043e-05,3.86187159930329e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1852,3.879631763936686e-05,3.807321301665548e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1853,3.884228453948646e-05,3.745731464841314e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1854,3.652644115703652e-05,3.660403004962509e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1855,3.589935698755653e-05,3.639740070966536e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1856,3.534941340888054e-05,3.554678602189974e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1857,3.416293751001831e-05,3.48940607946467e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1858,3.520505372531235e-05,3.451423779695809e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1859,3.284201482500748e-05,3.436315165141915e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1860,3.427320794871513e-05,3.38349785075195e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1861,3.386768017321629e-05,3.3578171770612e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1862,3.484175396878397e-05,3.312973045938821e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1863,3.165220140158298e-05,3.286106607993825e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1864,3.23652903516658e-05,3.244362000387865e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1865,3.206596454674582e-05,3.188202984678272e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1866,3.096136416885775e-05,3.126847273774277e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1867,3.135108541629794e-05,3.091954417761397e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1868,2.993654907354482e-05,3.025951648454238e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1869,3.054685420550429e-05,2.967540559981449e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1870,2.920970148068136e-05,2.925517422697992e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1871,2.774509650016466e-05,2.844644314898519e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1872,2.797718835365059e-05,2.800888440405396e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1873,2.801974455901579e-05,2.73685433759869e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1874,2.568996787033484e-05,2.69456784065417e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1875,2.687363785902619e-05,2.669741607520616e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1876,2.606446700903486e-05,2.635280203228912e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1877,2.624964669456498e-05,2.609302149521122e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1878,2.600726018081589e-05,2.605050288441237e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1879,2.556489005323126e-05,2.584817283900396e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1880,2.620128079947048e-05,2.563734175925877e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1881,2.539233759474291e-05,2.537577028721308e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1882,2.545732754116736e-05,2.51068445853391e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1883,2.458864945081851e-05,2.471450774532305e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1884,2.441864639024516e-05,2.434836586694728e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1885,2.412478026769804e-05,2.389538771624202e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1886,2.281853217311891e-05,2.324782066661606e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1887,2.363828765084008e-05,2.273569805509975e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1888,2.222149053980604e-05,2.209984662525762e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1889,2.092435819378569e-05,2.155566924469586e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1890,2.100379117020434e-05,2.120339077156926e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1891,1.996768638135027e-05,2.072974630975912e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1892,2.031553860376567e-05,2.009527189076559e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1893,2.035258286123276e-05,1.971523328229379e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1894,2.032277641816904e-05,1.923392198233517e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1895,1.778016960685136e-05,1.894828714866871e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1896,1.826408793448309e-05,1.881111371530456e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1897,1.763461207049399e-05,1.847521418216797e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1898,1.796824254568508e-05,1.795023934654725e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1899,1.93553245702166e-05,1.788616681174368e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1900,1.800128612927665e-05,1.757861482935037e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1901,1.664795256882401e-05,1.738840514197267e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1902,1.733166186322632e-05,1.699895924976317e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1903,1.611122405772991e-05,1.643212915369444e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1904,1.630314425885016e-05,1.597589452774297e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1905,1.524212130021851e-05,1.575478428960426e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1906,1.538751389773552e-05,1.545761862365872e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1907,1.480764374761634e-05,1.515318261039693e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1908,1.510018090185306e-05,1.475606128881995e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1909,1.525150220160754e-05,1.45596662750741e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1910,1.398017196489743e-05,1.429950496872988e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1911,1.352329500781124e-05,1.406809035808115e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1912,1.386735620399759e-05,1.373973740453001e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1913,1.3566384753326e-05,1.340233032198272e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1914,1.318774147307522e-05,1.336922455332651e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1915,1.280171022699506e-05,1.347220317353007e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1916,1.28896526237765e-05,1.361381250322305e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1917,1.374843158430394e-05,1.376715601073691e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1918,1.424414534923618e-05,1.383976087431852e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1919,1.485862151184847e-05,1.394776724275967e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1920,1.463978930592302e-05,1.40157303677357e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1921,1.36959755181465e-05,1.398825234229339e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1922,1.355775480608307e-05,1.380959345831973e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1923,1.336539449860868e-05,1.350882884028348e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1924,1.355608540620779e-05,1.323601570778111e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1925,1.29935331614206e-05,1.304319109436184e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1926,1.275326918559472e-05,1.27996286127609e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1927,1.273009737840641e-05,1.265928721217783e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1928,1.234620322421165e-05,1.237767338194338e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1929,1.185281743487643e-05,1.219845027521094e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1930,1.238300469452724e-05,1.206823402238282e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1931,1.158478859456663e-05,1.19992739769499e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1932,1.173897141429348e-05,1.190575390110281e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1933,1.184175541579791e-05,1.165883772256959e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1934,1.224737706037593e-05,1.148364985600693e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-106,anxious,1935,1.169156269328203e-05,1.144384587933173e-05,normalized share,"normalized share × 1,000,000"
