query_id,surface_form,year,raw_normalized_frequency,smoothed_radius_3_frequency,raw_scale,display_scale
FT-Q-V01-125,heat,1842,7.384357303408251e-05,6.709025996201601e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1843,6.306324519300688e-05,6.642640378322629e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1844,6.073773607795374e-05,6.542275385451601e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1845,7.07164855430209e-05,6.56699454004547e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1846,6.377097906806739e-05,6.373182843275435e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1847,6.040450421096466e-05,6.456387080933894e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1848,6.715309467608677e-05,6.515645282936402e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1849,6.027675426018009e-05,6.453922295007741e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1850,6.888754182909906e-05,6.478131776360696e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1851,6.488581021812934e-05,6.548897641088316e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1852,6.639587638801459e-05,6.450528548458083e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1853,6.546564276277422e-05,6.46307660884804e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1854,6.535811474189801e-05,6.437930537971688e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1855,6.026725819197054e-05,6.475330708449745e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1856,6.115511848747701e-05,6.408227371619755e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1857,6.712731686775442e-05,6.495708893024452e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1858,6.750382215159334e-05,6.523597755452621e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1859,6.169864280991533e-05,6.583688319291728e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1860,7.158934926110305e-05,6.64768717635005e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1861,6.731033511186979e-05,6.697097921102926e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1862,6.447359766070804e-05,6.709572051834454e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1863,6.56350384815596e-05,6.774906594435899e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1864,7.058606900045561e-05,6.643895333776786e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1865,6.837701130280038e-05,6.653482597954175e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1866,6.627206079201642e-05,6.761162257280597e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1867,6.241856101496523e-05,6.755847664431063e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1868,6.798144360428693e-05,6.782270918415894e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1869,7.201117381355759e-05,6.968922808245745e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1870,6.526301698209225e-05,7.087798880111336e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1871,7.243569677939377e-05,7.272736609546606e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1872,8.144264359088993e-05,7.321638412698315e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1873,7.459338582260777e-05,7.373942252785124e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1874,7.536420207543415e-05,7.508260902341912e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1875,7.140456982490662e-05,7.538291329249007e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1876,7.567244261963424e-05,7.41249750837804e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1877,7.466532245106738e-05,7.380630183081993e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1878,7.453782666289044e-05,7.301672226678721e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1879,7.263707612992221e-05,7.215685222063712e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1880,7.236267305188449e-05,7.081506421314261e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1881,6.983714512720507e-05,6.998827875145743e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1882,6.538547950185603e-05,6.927024307863286e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1883,6.627992656717263e-05,6.80784927215671e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1884,6.887782421927113e-05,6.675667061430532e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1885,6.951157695311849e-05,6.593415095066233e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1886,6.429482363046191e-05,6.644485965805786e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1887,6.310991830105195e-05,6.707077479549009e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1888,6.40795074817041e-05,6.647557969974096e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1889,6.896044045362482e-05,6.605909202999202e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1890,7.066133252919826e-05,6.668111248519872e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1891,6.471145854902716e-05,6.704119214533915e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1892,6.659616326487594e-05,6.735512690525327e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1893,6.86489668169088e-05,6.63659200816763e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1894,6.563047592203497e-05,6.549467383852592e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1895,6.627705080110291e-05,6.530608028632232e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1896,6.203599268858606e-05,6.447865819154566e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1897,6.45626088271456e-05,6.368283899129254e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1898,6.339130368360202e-05,6.2856181606125e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1899,6.080420860143931e-05,6.265732719829395e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1900,6.307823241513688e-05,6.279783534496716e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1901,5.984387422586224e-05,6.27541408232243e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1902,6.488506994628551e-05,6.305343407524739e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1903,6.301954971529855e-05,6.401004155213104e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1904,6.425674717494556e-05,6.488225326279093e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1905,6.548635644776368e-05,6.615095516264534e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1906,6.750046093962486e-05,6.676800465220499e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1907,6.918371438975612e-05,6.840349512220971e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1908,6.872478752484312e-05,6.94401933047115e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1909,6.920441637320307e-05,7.042482198095501e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1910,7.446798300533158e-05,7.124978852355143e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1911,7.151363445245806e-05,7.116711787050102e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1912,7.237875718146825e-05,7.136477362791308e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1913,7.327522673779979e-05,7.183561050905526e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1914,6.860501981840322e-05,7.177360172150316e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1915,7.010837782672752e-05,7.246002701271388e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1916,7.250027454119845e-05,7.281365351070284e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1917,7.403392149246679e-05,7.376708352044391e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1918,7.631861149093311e-05,7.542419449878764e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1919,7.485414266739099e-05,7.77251873234194e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1920,7.994923680598731e-05,7.976968777006151e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1921,8.02047966668093e-05,8.133091379246183e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1922,8.621532759914979e-05,8.231069143017217e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1923,8.681177766769327e-05,8.382351613065581e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1924,8.496250364926905e-05,8.459400678769574e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1925,8.317705495490546e-05,8.529032390104068e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1926,8.544391557077646e-05,8.487869977796329e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1927,8.534267140526686e-05,8.44331402328807e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1928,8.507901646022387e-05,8.396162073570832e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1929,8.333395873760807e-05,8.430206207439759e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1930,8.369286085211508e-05,8.381817288580229e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1931,8.166186716906249e-05,8.290542169854928e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1932,8.556014432573034e-05,8.203046804494189e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1933,8.205669125060933e-05,8.073665290927219e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1934,7.895341309449577e-05,8.075722214599382e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1935,7.895434088497216e-05,8.126833429080478e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1936,7.427725278792013e-05,8.048119098004656e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1937,8.383684550916648e-05,8.077313423288499e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1938,8.523965218273921e-05,8.160779635265982e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1939,8.005014115042286e-05,8.298929332543793e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1940,8.410029402047825e-05,8.598921221113023e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1941,8.479604793291962e-05,8.932048309785921e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1942,8.862481969441893e-05,9.217057667574144e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1943,9.52766849877662e-05,9.520901244049196e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1944,0.0001071557417162694,9.818982614847158e-05,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1945,0.0001051903072279148,0.0001009393788230338,normalized share,"normalized share × 1,000,000"
FT-Q-V01-125,heat,1946,0.0001013191915036765,0.0001032271915328653,normalized share,"normalized share × 1,000,000"
